ID,Category,Name,Sub Category
564,Experience,experience with rotating machines,Work experience
565,Education,"Aerospace Engineering, Mechanical/Vehicle Engineering or Electrical Engineering",Studies
566,Special_Knowledge,aircraft structure ,
567,Education,Computer Engineering / Software Engineering,Studies
568,Special_Knowledge,"knowledge in ARP4754A, DO-178C and DO-331",
569,Education,"Aerospace Engineering, Mechanical Engineering",Studies
570,Special_Knowledge,"Stress, Fatigue & Damage Tolerance analysis",
571,Special_Knowledge,"development of Tools & Methods in the form of spreadsheets, subroutines and scripts ",
572,Special_Knowledge,OptiStruct and corresponding pre- and post-processing tools (HyperMesh and HyperView),
573,Special_Knowledge,"thermal management, thermal management systems, thermal calculations and related design principles ",
574,Education,Electronic Engineering,Studies
575,Experience,"aerospace, automotive or railway industry ",experience
576,Special_Knowledge,"power electronics, high voltage (up to 1kVDC) semiconductors within electrical systems ",
577,Special_Knowledge,aerospace certification procedures and hardware development lifecycle according to RTCA/DO-254 ,
578,Special_Knowledge,Schematic capture and PCB layout board EDA tools,
579,Special_Knowledge,power and analog systems design and integration ,
580,Education,Technical or Engineering Degree,Ausbildung
581,Special_Knowledge, implementation or management of Supplier Quality Management Systems,
582,Special_Knowledge,experience auditing in a EN9100 or ISO9100 environment,
583,Special_Knowledge,manufacturing and inspection processes in the aerospace and/or automotive industries on electronics/electrical equipment and/or energy storage,
584,Special_Knowledge,Six Sigma Green Belt accreditation and experience with problem solving tools,
585,Education,Mechanical/ Industrial/ Electrical Engineering degree,Ausbildung
586,Experience,manufacturing engineering,experience
587,Special_Knowledge,safety-critical industries or high volume production,
588,Special_Knowledge,ERP & MES ,
589,Special_Knowledge,CAD (Siemens NX is preferred),
590,Education,"Studium (Uni/FH) der Fachrichtung Maschinenbau, Produktionstechnik oder vergleichbar",Studium
591,Experience,Erfahrung im Bereich der Arbeitsvorbereitung und Konstruktion von Fertigungshilfsmitteln,Erfahrung
592,Special_Knowledge,Erfahrung im Bereich der Arbeitsvorbereitung und Konstruktion von Fertigungshilfsmitteln,
593,Special_Knowledge,idealerweise Kenntnisse im Bereich des thermischen Spritzens,
594,Special_Knowledge,detaillierte Kenntnisse im Bereich der NC-Programmierung (speziell Industrie-roboter),
595,Special_Knowledge,Guardus,
596,Special_Knowledge,CAQ- und CAD-Systemen ,
597,Additional_Qualification,Erfahrung mit P&W und GE-Audits und gute Kommunikations- und Präsentationsfähigkeit in diesem Zusammenhang,
598,Experience,Versand,Versand
599,Experience,Luftfracht,Versand
600,Special_Knowledge,Development of Flight Management Systems,
601,Special_Knowledge,"knowledge of ARINC 424, ARINC 702A",
602,Special_Knowledge,"Experience in completing development and certification activities according to ARP4754A, ARP4761",
603,Special_Knowledge,knowledge of DO-178C / DO-331 / DO-297,
604,Education,"Aerospace Engineering, Mechanical Engineering ",Studies
605,Experience,Aerospace industry ,experience
606,Special_Knowledge,nonlinear explicit FE analysis methods,
